Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	MS2 Isolation Width	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)	Source Temp (°C)
367029	65	Predicted	1000.000	9	1	1.37	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=19eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 447.35@hcd45.00 [100.00-2000.00]	2.21	0.74	159.91
367029	66	Predicted	1000.000	10	1	1.35	2	313.8144	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=22eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 313.81@hcd45.00 [100.00-640.00]	2.21	0.74	159.91
367029	67	Predicted	1000.000	11	1	1.35	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=15eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 369.13@hcd45.00 [100.00-2000.00]	2.21	0.75	160.03
367029	68	On	122.000	1	0	0.68	1	371.1016	0	T=1e6 PvR=2e4 iWf	MCal=9h RF=2300V TmpDiff	30000	47492158.701	2215654.654		FTMS + p NSI Full ms [300.00-1800.00]	2.21	0.79	160.12
367029	69	Predicted	1000.000	2	1	1.40	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=18eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 419.32@hcd45.00 [100.00-2000.00]	2.21	0.79	160.12
367029	70	Predicted	1000.000	3	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=14eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 329.79@hcd45.00 [100.00-1990.00]	2.21	0.79	160.12
367029	71	Predicted	1000.000	4	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=14eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 344.98@hcd45.00 [100.00-2000.00]	2.21	0.79	160.03
367029	72	Predicted	1000.000	5	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=16eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 375.76@hcd45.00 [100.00-2000.00]	2.21	0.76	160.06
367029	73	Predicted	1000.000	6	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=14eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 343.28@hcd45.00 [100.00-2000.00]	2.21	0.76	160.06
367029	74	Predicted	1000.000	7	1	1.37	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=28eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 667.18@hcd45.00 [100.00-2000.00]	2.21	0.74	160.00
367029	75	Predicted	1000.000	8	1	1.35	2	352.2378	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=24eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 352.24@hcd45.00 [100.00-715.00]	2.21	0.74	160.00
367029	76	Predicted	1000.000	9	1	1.35	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=14eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 325.99@hcd45.00 [100.00-1970.00]	2.21	0.80	159.97
367029	77	On	120.056	1	0	0.68	1	371.1016	0	T=1e6 PvR=2e4 iWf	MCal=9h RF=2300V TmpDiff	30000	47492158.701	2215654.654		FTMS + p NSI Full ms [300.00-1800.00]	2.21	0.79	160.06
367029	78	Predicted	1000.000	2	1	1.42	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=13eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 305.05@hcd45.00 [100.00-1845.00]	2.21	0.79	160.06
367029	79	Predicted	1000.000	3	1	1.37	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=68eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 1578.31@hcd45.00 [100.00-2000.00]	2.21	0.79	160.06
