Dataset	ScanNumber	AGC	Micro Scan Count	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	MS2 Isolation Width	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)	Source Temp (°C)
323682	950	Predicted	4	1.461	4	1	0.38	2	578.3196	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 578.32@cid35.00 [145.00-1170.00]	1.81	0.65	159.79
323682	951	Predicted	4	1.913	5	1	0.43	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 536.30@cid35.00 [135.00-1620.00]	1.81	0.65	159.79
323682	952	Predicted	4	3.164	6	1	0.47	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1155.49@cid35.00 [305.00-2000.00]	1.81	0.65	159.79
323682	953	Predicted	4	3.646	7	1	0.39	2	618.3121	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 618.31@cid35.00 [160.00-1250.00]	1.81	0.65	159.79
323682	954	Predicted	4	7.315	8	1	0.49	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 884.41@cid35.00 [230.00-2000.00]	1.81	0.63	160.03
323682	955	Predicted	4	2.908	9	1	0.48	4	508.7855	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 508.79@cid35.00 [130.00-2000.00]	1.81	0.63	160.03
323682	956	Predicted	4	4.124	10	1	0.37	2	513.2540	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 513.25@cid35.00 [130.00-1040.00]	1.81	0.63	160.03
323682	957	Predicted	4	14.087	11	1	0.39	1	922.4803	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 922.48@cid35.00 [240.00-935.00]	1.81	0.63	160.03
323682	958	On	3	0.807	1	0	2.57	2	443.2774	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.65	159.94
323682	959	Predicted	4	0.345	2	1	0.35	2	463.2770	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 463.28@cid35.00 [115.00-940.00]	1.81	0.61	159.82
323682	960	Predicted	4	1.738	3	1	0.32	1	671.4161	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 671.42@cid35.00 [170.00-685.00]	1.81	0.61	159.82
323682	961	Predicted	4	4.019	4	1	0.35	1	888.4156	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 888.42@cid35.00 [230.00-900.00]	1.81	0.61	159.82
323682	962	Predicted	4	1.857	5	1	0.43	3	529.2571	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 529.59@cid35.00 [135.00-1600.00]	1.81	0.61	159.82
323682	963	Predicted	4	1.895	6	1	0.35	2	424.7456	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 425.25@cid35.00 [105.00-865.00]	1.81	0.61	159.82
323682	964	Predicted	4	12.193	7	1	0.37	1	848.4839	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 848.48@cid35.00 [220.00-860.00]	1.81	0.60	159.91
323682	965	Predicted	4	4.288	8	1	0.41	2	693.8584	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 693.86@cid35.00 [180.00-1400.00]	1.81	0.60	159.91
323682	966	Predicted	4	5.256	9	1	0.49	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 729.43@cid35.00 [190.00-2000.00]	1.81	0.60	159.91
323682	967	Predicted	4	3.640	10	1	0.46	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 580.31@cid35.00 [145.00-1755.00]	1.81	0.60	159.91
323682	968	Predicted	4	3.893	11	1	0.47	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 632.30@cid35.00 [160.00-1910.00]	1.81	0.65	159.79
